subjectID,trialID,T,P,W,Label,v,a,RT,response
1,30,100,8,1100,stranger,1.18510168369632,4.293518339647062,0.9810000000000005,1
1,31,100,8,1100,stranger,1.2022059559218548,4.293518339647062,1.1540000000000008,1
1,32,100,8,1100,stranger,0.7738680644396665,4.293518339647062,1.1310000000000007,1
1,33,100,8,1100,stranger,1.3614769008463727,4.293518339647062,1.0320000000000007,1
1,34,100,8,1100,stranger,2.4723760595006334,4.293518339647062,1.0100000000000007,1
1,35,100,8,1100,stranger,1.5610008368509622,4.293518339647062,0.6410000000000003,1
1,36,100,8,1100,stranger,1.7529882878388656,4.293518339647062,1.0200000000000007,1
1,37,100,8,1100,stranger,1.1474155939954014,4.293518339647062,1.1300000000000008,1
1,38,100,8,1100,stranger,1.16594867346641,4.293518339647062,0.42900000000000016,1
1,39,100,8,1100,stranger,1.4927782372963823,4.293518339647062,1.0980000000000008,1
1,40,100,8,1100,stranger,1.873382618244349,4.293518339647062,1.1550000000000007,1
1,41,100,8,1100,stranger,0.019039783520929165,4.293518339647062,0.8300000000000005,2
1,42,100,8,1100,stranger,2.130448217304556,4.293518339647062,0.7680000000000005,1
1,43,100,8,1100,stranger,2.5059115792242475,4.293518339647062,1.0760000000000007,1
1,44,100,8,1100,stranger,-1.6339320708527025,4.293518339647062,1.1210000000000007,2
1,45,100,8,1100,stranger,1.648677632034665,4.293518339647062,1.1420000000000008,1
1,46,100,8,1100,stranger,0.8385261369634693,4.293518339647062,0.9740000000000006,1
1,47,100,8,1100,stranger,0.7191746278951101,4.293518339647062,1.1020000000000008,1
1,48,100,8,1100,stranger,3.419338270251502,4.293518339647062,0.9120000000000006,1
1,49,100,8,1100,stranger,0.018426566364895036,4.293518339647062,0.9340000000000006,1
1,50,100,8,1100,stranger,1.9765492386285457,4.293518339647062,0.9230000000000005,1
1,51,100,8,1100,stranger,1.0496187836272315,4.293518339647062,1.1220000000000008,1
1,52,100,8,1100,stranger,2.8747778216474598,4.293518339647062,0.8440000000000005,1
1,53,100,8,1100,stranger,1.703080226774358,4.293518339647062,1.0510000000000006,1
1,54,100,8,1100,stranger,2.310344637316342,4.293518339647062,0.7570000000000003,1
1,55,100,8,1100,stranger,1.6208742209323463,4.293518339647062,0.8830000000000005,1
1,56,100,8,1100,stranger,-1.7097412572470603,4.293518339647062,1.0710000000000006,2
1,57,100,8,1100,stranger,0.5521257732242129,4.293518339647062,1.0700000000000007,1
1,58,100,8,1100,stranger,2.236205961650761,4.293518339647062,1.1610000000000007,1
1,59,100,8,1100,stranger,2.050066718976316,4.293518339647062,1.1640000000000008,1
1,60,100,8,1100,stranger,1.3997629029257082,4.293518339647062,0.7840000000000005,1
1,61,100,8,1100,stranger,1.9716184415510123,4.293518339647062,0.9150000000000005,1
1,62,100,8,1100,stranger,1.9814848951935498,4.293518339647062,0.8470000000000004,1
1,63,100,8,1100,stranger,0.7372550741959925,4.293518339647062,0.7580000000000005,1
1,64,100,8,1100,stranger,0.7110586049296032,4.293518339647062,0.9860000000000007,1
1,65,100,8,1100,stranger,-0.6290642286810593,4.293518339647062,0.9650000000000005,2
1,66,100,8,1100,stranger,0.6157207934325659,4.293518339647062,1.1170000000000007,1
1,67,100,8,1100,stranger,-2.742497356562204,4.293518339647062,0.8550000000000004,2
1,68,100,8,1100,stranger,0.8752159237647978,4.293518339647062,1.1550000000000007,1
1,69,100,8,1100,stranger,2.080421543330087,4.293518339647062,0.8970000000000005,1
1,70,100,8,1100,stranger,1.2882664997977198,4.293518339647062,1.0780000000000007,1
1,71,100,8,1100,stranger,-1.697242626053996,4.293518339647062,0.9640000000000006,2
1,72,100,8,1100,stranger,2.0846014933024275,4.293518339647062,0.8200000000000005,1
1,73,100,8,1100,stranger,-1.9033740898132385,4.293518339647062,0.8800000000000006,2
1,74,100,8,1100,stranger,-1.3266474519282772,4.293518339647062,1.1810000000000007,2
1,75,100,8,1100,stranger,2.661818021595833,4.293518339647062,0.8500000000000005,1
1,76,100,8,1100,stranger,2.2513182874807054,4.293518339647062,1.1130000000000007,1
1,77,100,8,1100,stranger,-0.019076280207459773,4.293518339647062,0.8170000000000004,2
1,78,100,8,1100,stranger,1.9765333952614657,4.293518339647062,1.1970000000000007,1
1,79,100,8,1100,stranger,2.3941759824418867,4.293518339647062,0.6640000000000004,1
1,80,100,8,1100,stranger,-0.34251614338325387,4.293518339647062,1.1090000000000007,2
1,81,100,8,1100,stranger,0.8889023939188467,4.293518339647062,1.0110000000000006,1
1,82,100,8,1100,stranger,-0.052429016996143885,4.293518339647062,0.9850000000000005,2
1,83,100,8,1100,stranger,-0.5267566266985548,4.293518339647062,0.9360000000000006,2
1,84,100,8,1100,stranger,1.4251285535783813,4.293518339647062,0.9720000000000006,1
1,85,100,8,1100,stranger,1.2113742291780076,4.293518339647062,1.1370000000000007,1
1,86,100,8,1100,stranger,2.016166767797448,4.293518339647062,0.6860000000000004,1
1,87,100,8,1100,stranger,-0.004113180525016746,4.293518339647062,1.0930000000000006,1
1,88,100,8,1100,stranger,1.1140206453518173,4.293518339647062,0.9560000000000006,1
1,89,100,8,1100,stranger,1.1760876877132829,4.293518339647062,0.9570000000000005,1
1,90,100,8,1100,stranger,0.8753112331340958,4.293518339647062,1.1850000000000007,1
1,91,100,8,1100,stranger,1.8537116884494538,4.293518339647062,0.7260000000000004,1
1,92,100,8,1100,stranger,-1.6979231591983392,4.293518339647062,1.1520000000000008,2
1,93,100,8,1100,stranger,2.609951044281371,4.293518339647062,1.0250000000000006,1
1,94,100,8,1100,stranger,0.4635743142415758,4.293518339647062,1.0080000000000007,1
1,95,100,8,1100,stranger,1.7205576385104162,4.293518339647062,1.1930000000000007,1
1,96,100,8,1100,stranger,0.2129392778058184,4.293518339647062,0.7990000000000004,1
1,97,100,8,1100,stranger,1.5576294903307013,4.293518339647062,0.9990000000000006,1
1,98,100,8,1100,stranger,-0.7704073704808179,4.293518339647062,0.7290000000000003,2
1,99,100,8,1100,stranger,0.5438394388308625,4.293518339647062,1.0040000000000007,1
1,100,100,8,1100,stranger,0.2904458698105236,4.293518339647062,0.6520000000000004,1
1,101,100,8,1100,stranger,2.002726980178629,4.293518339647062,0.8440000000000005,1
1,102,100,8,1100,stranger,0.682311880743672,4.293518339647062,0.9990000000000006,2
1,103,100,8,1100,stranger,2.049086972750491,4.293518339647062,0.8460000000000005,1
1,104,100,8,1100,stranger,1.9440354176714822,4.293518339647062,1.0340000000000007,1
1,105,100,8,1100,stranger,0.7559780758021024,4.293518339647062,0.9970000000000006,1
1,106,100,8,1100,stranger,1.5587559027690459,4.293518339647062,0.9210000000000005,1
1,107,100,8,1100,stranger,1.9934069189513928,4.293518339647062,1.1500000000000008,1
1,108,100,8,1100,stranger,-1.1080819333459846,4.293518339647062,1.1920000000000008,2
1,109,100,8,1100,stranger,1.0734224507682837,4.293518339647062,1.0620000000000007,1
1,110,100,8,1100,stranger,1.609846680939375,4.293518339647062,1.0610000000000006,1
1,111,100,8,1100,stranger,2.2301191147324166,4.293518339647062,0.6290000000000003,1
1,112,100,8,1100,stranger,1.755733503851586,4.293518339647062,1.0190000000000006,1
1,113,100,8,1100,stranger,-0.6484656051196092,4.293518339647062,1.1170000000000007,2
1,114,100,8,1100,stranger,1.798473673542985,4.293518339647062,1.1250000000000007,1
1,115,100,8,1100,stranger,0.5291426972802932,4.293518339647062,1.0150000000000006,1
1,116,100,8,1100,stranger,-0.8409683093867848,4.293518339647062,0.7410000000000003,2
1,117,100,8,1100,stranger,-2.6906136892662214,4.293518339647062,0.6630000000000004,2
1,118,100,8,1100,stranger,-1.0991616747261512,4.293518339647062,1.1690000000000007,2
1,119,100,8,1100,stranger,0.874280954517826,4.293518339647062,1.1310000000000007,1
1,120,100,8,1100,stranger,1.8139033397035778,4.293518339647062,1.0390000000000006,1
1,121,100,8,1100,stranger,0.5285789905822423,4.293518339647062,1.0480000000000007,1
1,122,100,8,1100,stranger,1.0985320333070507,4.293518339647062,1.0570000000000006,1
1,123,100,8,1100,stranger,1.4052374599216946,4.293518339647062,0.8790000000000004,1
1,124,100,8,1100,stranger,-1.7327947108592219,4.293518339647062,1.1350000000000007,2
1,125,100,8,1100,stranger,1.3640068385420439,4.293518339647062,0.8970000000000005,1
1,126,100,8,1100,stranger,1.4608499460867894,4.293518339647062,1.1320000000000008,1
1,127,100,8,1100,stranger,2.231579427163457,4.293518339647062,0.7010000000000003,1
1,128,100,8,1100,stranger,1.9903546693722611,4.293518339647062,0.7810000000000004,1
1,129,100,8,1100,stranger,0.2650444999116414,4.293518339647062,0.9950000000000006,2
1,130,100,8,1100,stranger,1.7213084808668997,4.293518339647062,0.9450000000000005,1
1,1,100,8,1100,self,2.682931361523531,4.293518339647062,0.8220000000000005,1
1,2,100,8,1100,self,1.7232736300472338,4.293518339647062,0.7350000000000003,1
1,3,100,8,1100,self,1.978518700319496,4.293518339647062,1.0520000000000007,1
1,4,100,8,1100,self,2.1847752783904477,4.293518339647062,1.0410000000000006,1
1,5,100,8,1100,self,1.8619715365360439,4.293518339647062,1.1230000000000007,1
1,6,100,8,1100,self,1.038055522109236,4.293518339647062,1.0880000000000007,1
1,7,100,8,1100,self,2.095279128782581,4.293518339647062,1.1000000000000008,1
1,8,100,8,1100,self,3.445092148015118,4.293518339647062,1.1330000000000007,1
1,9,100,8,1100,self,2.9166749973486388,4.293518339647062,0.8990000000000005,1
1,10,100,8,1100,self,1.27085042797646,4.293518339647062,0.7410000000000003,1
1,11,100,8,1100,self,3.7017385934574256,4.293518339647062,0.6370000000000003,1
1,12,100,8,1100,self,1.9703765605302497,4.293518339647062,0.9010000000000005,1
1,13,100,8,1100,self,2.438296342695363,4.293518339647062,1.0690000000000006,1
1,14,100,8,1100,self,2.9760817383193054,4.293518339647062,0.6570000000000004,1
1,15,100,8,1100,self,3.7594296326244105,4.293518339647062,0.6830000000000004,1
1,16,100,8,1100,self,2.265290655507291,4.293518339647062,0.9150000000000005,1
1,17,100,8,1100,self,3.9369029427361264,4.293518339647062,0.4850000000000002,1
1,18,100,8,1100,self,3.3421403448963822,4.293518339647062,0.7940000000000005,1
1,19,100,8,1100,self,1.2139213205918233,4.293518339647062,1.0830000000000006,1
1,20,100,8,1100,self,3.2155036681258093,4.293518339647062,0.40200000000000014,1
1,21,100,8,1100,self,2.4065365808342776,4.293518339647062,0.7480000000000004,1
1,22,100,8,1100,self,3.4926772291716244,4.293518339647062,0.7140000000000004,1
1,23,100,8,1100,self,2.3532423383972105,4.293518339647062,0.7220000000000004,1
1,24,100,8,1100,self,2.694569853464144,4.293518339647062,0.9490000000000005,1
1,25,100,8,1100,self,2.4974669840256873,4.293518339647062,0.7380000000000004,1
1,26,100,8,1100,self,2.9831605162512815,4.293518339647062,0.7230000000000003,1
1,27,100,8,1100,self,2.241146877727777,4.293518339647062,0.6640000000000004,1
1,28,100,8,1100,self,1.9970751343414888,4.293518339647062,0.9370000000000005,1
1,29,100,8,1100,self,3.231121305453296,4.293518339647062,0.9530000000000005,1
1,30,100,8,1100,self,1.0313333198763783,4.293518339647062,0.8040000000000005,1
1,31,100,8,1100,self,3.625971830986975,4.293518339647062,0.4470000000000002,1
1,32,100,8,1100,self,2.522717726513698,4.293518339647062,0.8790000000000004,1
1,33,100,8,1100,self,3.4795469630523117,4.293518339647062,0.6810000000000004,1
1,34,100,8,1100,self,2.72857502000808,4.293518339647062,0.6730000000000004,1
1,35,100,8,1100,self,5.047123256245022,4.293518339647062,0.7890000000000004,1
1,36,100,8,1100,self,1.0956502283834524,4.293518339647062,1.0750000000000006,1
1,37,100,8,1100,self,2.583676572272701,4.293518339647062,0.7680000000000005,1
1,38,100,8,1100,self,2.479155378463742,4.293518339647062,0.5570000000000003,1
1,39,100,8,1100,self,1.611196450578365,4.293518339647062,0.7850000000000004,1
1,40,100,8,1100,self,1.9583497332369137,4.293518339647062,1.0140000000000007,1
1,41,100,8,1100,self,2.227780946238338,4.293518339647062,0.8770000000000004,1
1,42,100,8,1100,self,3.7454763679097214,4.293518339647062,1.0660000000000007,1
1,43,100,8,1100,self,5.196028762336859,4.293518339647062,0.4590000000000002,1
1,44,100,8,1100,self,2.151861761744185,4.293518339647062,0.8690000000000004,1
1,45,100,8,1100,self,1.5470686488169452,4.293518339647062,0.7860000000000005,1
1,46,100,8,1100,self,2.04134034394574,4.293518339647062,1.0650000000000006,1
1,47,100,8,1100,self,3.0253420198829755,4.293518339647062,1.1570000000000007,1
1,48,100,8,1100,self,2.2550922939925178,4.293518339647062,1.0380000000000007,1
1,49,100,8,1100,self,2.271233038569376,4.293518339647062,1.1720000000000008,1
1,50,100,8,1100,self,2.2320636591582,4.293518339647062,0.9400000000000006,1
1,51,100,8,1100,self,1.7293797032978833,4.293518339647062,0.9250000000000005,1
1,52,100,8,1100,self,1.6175575861154243,4.293518339647062,1.0500000000000007,1
1,53,100,8,1100,self,2.4935289449024256,4.293518339647062,0.6570000000000004,1
1,54,100,8,1100,self,2.661255634698363,4.293518339647062,0.9270000000000005,1
1,55,100,8,1100,self,0.3441064329084971,4.293518339647062,0.9350000000000005,1
1,56,100,8,1100,self,3.480711192739244,4.293518339647062,1.1060000000000008,1
1,57,100,8,1100,self,3.880496636469635,4.293518339647062,0.6360000000000003,1
1,58,100,8,1100,self,2.631186252380894,4.293518339647062,0.6860000000000004,1
1,59,100,8,1100,self,2.6429567418774313,4.293518339647062,0.9820000000000007,1
1,60,100,8,1100,self,3.116477881761692,4.293518339647062,0.5440000000000003,1
1,61,100,8,1100,self,2.4436066726119052,4.293518339647062,0.7530000000000003,1
1,62,100,8,1100,self,3.7538077709813367,4.293518339647062,0.8410000000000004,1
1,63,100,8,1100,self,2.6799872463886354,4.293518339647062,0.7790000000000004,1
1,64,100,8,1100,self,2.0738520533135913,4.293518339647062,0.7000000000000004,1
1,65,100,8,1100,self,3.511254630196804,4.293518339647062,0.5920000000000003,1
1,66,100,8,1100,self,3.631112110980102,4.293518339647062,0.8900000000000006,1
1,67,100,8,1100,self,2.6099386836382386,4.293518339647062,0.7840000000000005,1
1,68,100,8,1100,self,2.791634982649254,4.293518339647062,0.6270000000000003,1
1,69,100,8,1100,self,3.3689886233274366,4.293518339647062,1.0030000000000006,1
1,70,100,8,1100,self,1.7279941326131154,4.293518339647062,1.1160000000000008,1
1,71,100,8,1100,self,3.807135888793841,4.293518339647062,0.5900000000000003,1
1,72,100,8,1100,self,3.3909347763124216,4.293518339647062,1.1330000000000007,1
1,73,100,8,1100,self,2.5317887747503205,4.293518339647062,0.9580000000000006,1
1,74,100,8,1100,self,2.334299336441611,4.293518339647062,1.0730000000000006,1
1,75,100,8,1100,self,2.467434204614433,4.293518339647062,0.5830000000000003,1
