groupID,subjectID,Type,trialID,P,T_ms,W_ms,Label,Press,Correct,RT_ms,condition_label
1,1,empirical,390,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,391,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,393,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,396,0,30,300,stranger,1,0,282.483399998455,"P=0,T=30,W=300"
1,1,empirical,399,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,400,0,30,300,stranger,1,1,321.089500001108,"P=0,T=30,W=300"
1,1,empirical,402,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,403,0,30,300,stranger,1,1,234.005700003763,"P=0,T=30,W=300"
1,1,empirical,406,0,30,300,self,1,1,234.349700003804,"P=0,T=30,W=300"
1,1,empirical,408,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,409,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,410,0,30,300,self,1,1,235.216499997478,"P=0,T=30,W=300"
1,1,empirical,413,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,416,0,30,300,stranger,1,0,234.232299997529,"P=0,T=30,W=300"
1,1,empirical,417,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,420,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,421,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,424,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,426,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,427,0,30,300,self,1,1,276.637299997674,"P=0,T=30,W=300"
1,1,empirical,431,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,432,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,433,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,434,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,437,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,439,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,441,0,30,300,stranger,1,1,234.426099996199,"P=0,T=30,W=300"
1,1,empirical,442,0,30,300,self,1,1,292.877499996393,"P=0,T=30,W=300"
1,1,empirical,447,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,448,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,450,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,451,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,453,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,455,0,30,300,self,1,0,293.749500000558,"P=0,T=30,W=300"
1,1,empirical,457,0,30,300,stranger,1,1,235.497400004533,"P=0,T=30,W=300"
1,1,empirical,459,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,462,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,464,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,467,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,468,0,30,300,self,1,1,320.536100000027,"P=0,T=30,W=300"
1,1,empirical,470,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,472,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,475,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,476,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,478,0,30,300,self,0,0,,"P=0,T=30,W=300"
