groupID,subjectID,Type,condition_label,mean_RT_self,mean_RT_stranger,sd_RT_self,sd_RT_stranger,mean_ACC_self,mean_ACC_stranger,sd_ACC_self,sd_ACC_stranger,n_self,n_stranger,cohen_d_RT,cohen_d_ACC
2,3,simulated,"P=0,T=30,W=600",497.046153846154,488.769230769231,92.582823723725,91.3296727434995,0.853846153846154,0.6,0.35462696770748,0.491793112107397,130,130,-0.0900072708509562,0.592087068881293
2,4,empirical,"P=0,T=30,W=600",428.178607410734,420.108174999768,134.221344628086,129.451948301708,0.123076923076923,0.0615384615384615,0.329796381047002,0.241245031401497,130,130,-0.0612053832185454,0.212985063707851
2,4,simulated,"P=0,T=30,W=600",439.653846153846,460.207692307693,91.6078355149171,101.325149824125,0.738461538461539,0.646153846153846,0.441172612140691,0.480011925910284,130,130,0.212797469721555,0.200232964551894
2,5,empirical,"P=0,T=30,W=600",388.961717474514,369.778776841581,138.113869331478,127.005230517964,0.484615384615385,0.4,0.501696584926956,0.491793112107397,130,130,-0.144585006911899,0.170331269933833
2,5,simulated,"P=0,T=30,W=600",432.315384615385,431.653846153846,99.2831698904419,97.0770262013634,0.784615384615385,0.538461538461538,0.412679190764644,0.500447027357954,130,130,-0.00673758455980441,0.536671915754497
2,6,empirical,"P=0,T=30,W=600",517.451100002745,561.357250000583,78.7079517334103,46.7636544244807,0.453846153846154,0.107692307692308,0.499791250400946,0.31119060801061,130,130,0.678222508532825,0.831477552714761
2,6,simulated,"P=0,T=30,W=600",485.923076923077,508.061538461539,79.3106555481823,79.7851527683313,0.815384615384615,0.538461538461538,0.389486152934055,0.500447027357954,130,130,0.278302279760625,0.617563893763087
2,7,empirical,"P=0,T=30,W=600",275.491656383197,264.817047126902,78.402344518272,70.6855152745494,0.484615384615385,0.392307692307692,0.501696584926956,0.490153493537679,130,130,-0.143007467208922,0.186119744897094
2,7,simulated,"P=0,T=30,W=600",491.161538461539,499.976923076923,87.3777155567103,80.6928779298316,0.823076923076923,0.592307692307692,0.383079820762893,0.493306418386169,130,130,0.104818098843371,0.522521496086518
2,8,empirical,"P=0,T=30,W=600",483.477599996453,532.577910346124,114.999960013297,76.86779974545,0.146153846153846,0.0769230769230769,0.354626967707481,0.267500188086136,130,130,0.5019960832704,0.220410511636183
2,8,simulated,"P=0,T=30,W=600",495.138461538462,509.523076923077,81.0950015995839,78.7338973702581,0.792307692307692,0.653846153846154,0.407224560379195,0.477583361959723,130,130,0.179980543417282,0.311990519501899
2,9,empirical,"P=0,T=30,W=600",500.176943929988,525.192269372129,62.7380083838113,60.6481652874777,0.7,0.530769230769231,0.460030332670297,0.500982933662524,130,130,0.405422055328494,0.351873021299683
2,10,empirical,"P=0,T=30,W=600",384.541760313339,393.178300004673,127.636911631812,129.157381005453,0.369230769230769,0.261538461538462,0.484463445528832,0.441172612140692,130,130,0.067263086088031,0.232434164927708
2,11,empirical,"P=0,T=30,W=600",538.226074193548,512.496933333333,90.9727599690734,97.9700260618483,0.146153846153846,0.0923076923076923,0.35462696770748,0.290579582453446,130,130,-0.272161914793318,0.166095037176899
2,12,empirical,"P=0,T=30,W=600",348.896486111496,309.309181967201,84.7439264636983,73.203295127141,0.4,0.392307692307692,0.491793112107397,0.490153493537679,130,130,-0.499939824266465,0.0156674444916007
3,1,empirical,"P=120,T=30,W=600",433.783661172835,446.938010258003,111.573998571095,116.527574238057,0.553846153846154,0.376923076923077,0.499015130210389,0.486490112639389,130,130,0.115310457290111,0.359021509460868
3,1,simulated,"P=120,T=30,W=600",507.615384615385,514.461538461539,78.614986106649,78.9328194232977,0.984615384615385,0.838461538461539,0.123553044479845,0.369450590497999,130,130,0.0869087308692814,0.530576345947166
3,2,empirical,"P=120,T=30,W=600",489.045907608512,492.929969410971,99.5092029812025,92.7147916480213,0.415384615384615,0.276923076923077,0.494694571570503,0.449209203785555,130,130,0.0403866102195003,0.293040579212315
3,2,simulated,"P=120,T=30,W=600",506.846153846154,529.792307692308,73.3552956758889,64.9661445706125,1,0.784615384615385,0,0.412679190764644,130,130,0.331171617326552,0.738103231323707
3,3,empirical,"P=120,T=30,W=600",260.544817857343,267.189891964474,63.6309818491199,72.8328189197596,0.4,0.515384615384615,0.491793112107397,0.501696584926956,130,130,0.0971688930420435,-0.232269913546135
3,3,simulated,"P=120,T=30,W=600",500.269230769231,513.184615384616,75.8652199894976,77.2467891122052,1,0.738461538461539,0,0.441172612140691,130,130,0.168698183026196,0.838382141618377
3,4,empirical,"P=120,T=30,W=600",510.66617887286,487.467789552487,102.841336413406,127.638203941073,0.461538461538462,0.338461538461539,0.500447027357954,0.475016868796284,130,130,-0.200150352877678,0.252259711868853
3,4,simulated,"P=120,T=30,W=600",491.069230769231,505.546153846154,85.7778985702299,82.1568844788006,0.984615384615385,0.692307692307692,0.123553044479845,0.463323916799418,130,130,0.172371186894562,0.862091297024117
3,5,empirical,"P=120,T=30,W=600",299.808189763979,290.141517829101,85.2985375659539,76.4305213981024,0.523076923076923,0.507692307692308,0.501399353675718,0.501874839181977,130,130,-0.119362256063449,0.0306688117093908
3,5,simulated,"P=120,T=30,W=600",509.215384615385,507.207692307693,78.9654015705598,84.5236259942889,1,0.769230769230769,0,0.422954934437814,130,130,-0.0245463938996818,0.771611699875407
3,6,empirical,"P=120,T=30,W=600",487.02897500132,477.171607144555,132.034691152983,123.093317818283,0.2,0.115384615384615,0.401547394559495,0.320721458628893,130,130,-0.0772264851366377,0.232850954133596
3,6,simulated,"P=120,T=30,W=600",422.9,468.715384615385,91.9728515723885,96.829766277978,0.938461538461539,0.784615384615385,0.241245031401497,0.412679190764644,130,130,0.485165228195635,0.45515091725219
3,7,empirical,"P=120,T=30,W=600",510.750057142197,474.25771499984,100.880307414011,123.144823403046,0.346153846153846,0.115384615384615,0.477583361959723,0.320721458628893,130,130,-0.324190821139457,0.567300204327057
3,7,simulated,"P=120,T=30,W=600",480.376923076923,516.192307692308,87.5571366394863,72.0824351680044,1,0.753846153846154,0,0.432435655679457,130,130,0.446609725260175,0.805007873631745
